Date,Open,High,Low,Close,Volume,Net Turnover,Market Cap
2018-01-16,426.15,426.15,413.69,415.02,11005600,4606622.21,584589.13
2018-01-17,416.39,417.74,407.85,415.72,13424119,5562354.18,585570.88
2018-01-18,417.74,418.01,411.49,413.56,9538211,3955927.04,582530.56
2018-01-19,415.04,420.17,414.64,418.78,10139786,4233444.86,589877.94
2018-01-22,426.28,438.11,422.69,436.85,46462538,20053133.31,615360.75
2018-01-23,438.43,445.6,438.43,442.14,22902319,10140509.18,622803.31
2018-01-24,441.46,441.46,432.87,434.54,14527683,6324641.79,612098.69
2018-01-25,435.23,437.08,429.95,434.33,13897771,6024404.99,611813.63
2018-01-29,434.47,439.46,431.37,433.7,10062043,4382895.1,610926.81
2018-01-30,434.29,434.29,426.73,427.36,9336031,4015232.0,601995.75
2018-01-31,427.18,433.7,423.38,432.27,12760916,5501909.5,608899.94
2018-02-01,433.14,437.35,421.16,424.42,16800268,7215260.67,597846.88
2018-02-02,420.44,424.46,405.15,406.66,29448433,12149575.68,572827.06
2018-02-05,402.0,410.32,396.52,405.67,19511004,7913964.54,571433.56
2018-02-06,394.36,403.8,391.66,401.15,24463611,9726627.84,565067.75
2018-02-07,405.85,407.13,400.2,402.18,15791199,6373167.62,566524.56
2018-02-08,403.76,409.49,401.26,406.75,14056364,5708726.27,572953.75
2018-02-09,399.75,405.6,398.41,403.73,11773682,4743533.06,568709.88
2018-02-12,406.05,412.88,405.62,411.67,12075043,4942032.38,579889.63
2018-02-14,415.04,423.81,414.14,419.83,22618687,9468181.5,591386.06
2018-02-15,421.63,425.27,417.36,420.73,13586509,5731058.69,592652.88
2018-02-16,422.51,423.86,412.84,414.28,9788658,4094972.93,583563.38
2018-02-19,414.14,419.09,410.79,416.84,9090957,3770665.47,587173.88
2018-02-20,417.74,417.99,413.15,414.19,8599448,3569595.9,583436.75
2018-02-21,418.19,419.32,414.66,417.9,12116046,5051677.18,588662.38
2018-02-22,414.59,418.64,413.69,415.65,11383555,4734779.39,585543.5
2018-02-23,416.12,421.79,414.93,420.1,10787538,4519877.63,591814.75
2018-02-26,422.24,424.89,421.16,422.1,8576229,3630113.79,594633.69
2018-02-27,422.24,429.79,421.95,427.41,14255094,6083476.99,602108.56
2018-02-28,425.36,430.38,424.13,429.23,57594811,24689973.25,604674.13
2018-03-01,427.07,431.64,425.36,426.46,9105892,3895948.29,600778.31
2018-03-05,424.04,427.25,414.41,415.54,12531157,5253681.66,585385.13
2018-03-06,417.74,420.98,406.99,409.58,16286766,6785121.28,576991.69
2018-03-07,408.86,408.86,399.33,400.09,16117816,6508943.36,563625.56
2018-03-08,403.64,411.22,401.69,409.85,13505403,5489882.11,577371.75
2018-03-09,411.4,413.4,409.67,410.59,10815866,4448821.25,578417.0
2018-03-12,413.69,419.58,412.59,418.33,8453759,3512520.96,589312.56
2018-03-13,419.05,420.89,414.3,419.02,11334574,4737580.54,590294.44
2018-03-14,417.65,419.11,413.33,417.76,14969913,6214195.2,588520.75
2018-03-15,415.94,417.94,409.2,410.01,12923735,5337047.04,577593.5
2018-03-16,408.75,409.06,398.43,404.72,31328629,12662129.66,570150.25
2018-03-19,405.15,407.8,401.1,402.68,12841382,5185520.13,567268.0
2018-03-20,401.69,406.5,398.88,400.11,15446242,6216141.82,563657.25
2018-03-21,402.39,405.76,401.69,403.31,14960419,6036186.62,568154.88
2018-03-22,402.9,410.07,402.79,408.37,22498613,9183446.02,575281.31
2018-03-23,400.47,404.7,399.8,401.96,23861230,9601998.85,566254.44
2018-03-26,401.98,406.63,401.33,405.2,13448204,5434879.49,570815.38
2018-03-27,407.94,409.53,403.35,404.61,15432578,6269986.82,569991.88
2018-03-28,402.81,402.83,395.71,396.92,19480005,7766716.42,559159.63
2018-04-02,401.55,405.13,398.63,401.53,12702776,5108762.62,565693.69
2018-04-03,400.65,405.47,398.07,404.5,14154200,5675268.1,569874.81
2018-04-04,406.81,410.01,401.13,402.41,14451482,5858765.31,566929.0
2018-04-05,406.99,409.2,406.27,408.39,8670071,3537659.9,575354.69
2018-04-06,408.3,413.02,406.95,409.65,9825997,4033221.12,577128.5
2018-04-09,410.34,413.24,410.34,411.9,7944150,3272222.98,580296.06
2018-04-10,412.97,415.45,411.06,412.37,8596074,3552772.86,580961.25
2018-04-11,414.5,419.43,411.92,418.57,13359866,5574246.4,589703.75
2018-04-12,418.12,421.18,415.58,417.61,11002998,4598362.62,588341.69
2018-04-13,419.4,423.45,417.61,422.17,12827131,5404908.03,594771.81
2018-04-16,420.19,422.69,417.52,421.36,9083204,3809041.66,593631.5
2018-04-17,422.69,425.93,420.89,424.6,9759839,4135607.3,598192.75
2018-04-18,425.05,426.37,420.46,421.79,7483691,3167483.9,594233.31
2018-04-19,422.28,424.94,420.44,423.72,9965990,4218134.27,596957.44
2018-04-20,421.79,423.52,414.23,417.25,7448828,3109071.62,587834.88
2018-04-23,418.19,424.64,417.52,420.89,7802411,3284954.11,592966.31
2018-04-24,420.8,438.74,420.44,436.2,20253189,8741718.02,614572.56
2018-04-25,437.82,441.48,433.28,436.4,14314077,6249960.96,614857.63
